node_id,node_index,date,day,sales_order,production,delivery,factory_issue,group,sub_group,plant,storage_location,day_of_week,is_weekend,month,day_of_month,y_h30,split,sales_order_lag1,sales_order_lag2,sales_order_lag3,sales_order_lag4,sales_order_lag5,sales_order_lag6,sales_order_lag7,sales_order_lag8,sales_order_lag9,sales_order_lag10,sales_order_lag11,sales_order_lag12,sales_order_lag13,sales_order_lag14,production_lag1,production_lag2,production_lag3,production_lag4,production_lag5,production_lag6,production_lag7,production_lag8,production_lag9,production_lag10,production_lag11,production_lag12,production_lag13,production_lag14,delivery_lag1,delivery_lag2,delivery_lag3,delivery_lag4,delivery_lag5,delivery_lag6,delivery_lag7,delivery_lag8,delivery_lag9,delivery_lag10,delivery_lag11,delivery_lag12,delivery_lag13,delivery_lag14,factory_issue_lag1,factory_issue_lag2,factory_issue_lag3,factory_issue_lag4,factory_issue_lag5,factory_issue_lag6,factory_issue_lag7,factory_issue_lag8,factory_issue_lag9,factory_issue_lag10,factory_issue_lag11,factory_issue_lag12,factory_issue_lag13,factory_issue_lag14,sales_order_roll14_mean,sales_order_roll14_std,sales_order_roll14_max,sales_order_roll14_min,production_roll14_mean,production_roll14_std,production_roll14_max,production_roll14_min,delivery_roll14_mean,delivery_roll14_std,delivery_roll14_max,delivery_roll14_min,factory_issue_roll14_mean,factory_issue_roll14_std,factory_issue_roll14_max,factory_issue_roll14_min
AT5X5K,22,2023-01-15,15,2632.0,1000,901.0,1110.0,A,AT,1919,1930.0,6,True,1,15,3623.0,train,338.6,0.0,2020.0,1453.0,2414.0,2254.0,3322.0,10.0,0.0,3504.0,909.8,2355.0,1070.0,2642.0,1500.0,2000.0,2000.0,2000.0,2000.0,1500.0,1500.0,1500.0,1000.0,2000.0,2000.0,2000.0,1500.0,1500.0,1218.0,538.0,1824.0,2590.0,1559.0,3501.94,1225.0,1667.0,1147.0,735.8,2439.0,2215.6,2317.0,707.0,1040.0,880.0,2026.0,2905.0,1200.0,3129.0,1009.0,1672.0,1437.0,1100.0,2265.0,2964.0,1720.0,970.0,1591.6000000000001,1225.0396590126566,3504.0,0.0,1678.5714285714287,372.47317183424593,2000.0,1000.0,1705.5957142857144,829.7234662289533,3501.94,538.0,1746.9285714285713,789.3699984832807,3129.0,880.0
AT5X5K,22,2023-01-16,16,2303.0,700,2454.0,2600.0,A,AT,1919,1930.0,0,False,1,16,1213.2,train,2632.0,338.6,0.0,2020.0,1453.0,2414.0,2254.0,3322.0,10.0,0.0,3504.0,909.8,2355.0,1070.0,1000.0,1500.0,2000.0,2000.0,2000.0,2000.0,1500.0,1500.0,1500.0,1000.0,2000.0,2000.0,2000.0,1500.0,901.0,1218.0,538.0,1824.0,2590.0,1559.0,3501.94,1225.0,1667.0,1147.0,735.8,2439.0,2215.6,2317.0,1110.0,1040.0,880.0,2026.0,2905.0,1200.0,3129.0,1009.0,1672.0,1437.0,1100.0,2265.0,2964.0,1720.0,1679.6714285714286,1228.971411339625,3504.0,0.0,1621.4285714285713,454.34411125112143,2000.0,700.0,1715.3814285714286,838.2530610543769,3501.94,538.0,1809.7857142857142,821.4460213148919,3129.0,880.0
AT5X5K,22,2023-01-17,17,1746.0,1000,1990.0,1786.0,A,AT,1919,1930.0,1,False,1,17,334.8,train,2303.0,2632.0,338.6,0.0,2020.0,1453.0,2414.0,2254.0,3322.0,10.0,0.0,3504.0,909.8,2355.0,700.0,1000.0,1500.0,2000.0,2000.0,2000.0,2000.0,1500.0,1500.0,1500.0,1000.0,2000.0,2000.0,2000.0,2454.0,901.0,1218.0,538.0,1824.0,2590.0,1559.0,3501.94,1225.0,1667.0,1147.0,735.8,2439.0,2215.6,2600.0,1110.0,1040.0,880.0,2026.0,2905.0,1200.0,3129.0,1009.0,1672.0,1437.0,1100.0,2265.0,2964.0,1636.1714285714286,1213.914798320878,3504.0,0.0,1550.0,468.63139525151803,2000.0,700.0,1699.267142857143,830.0253881420974,3501.94,538.0,1725.642857142857,751.4750220674064,3129.0,880.0
AT5X5K,22,2023-01-18,18,1697.0,2000,2063.6,1775.0,A,AT,1919,1930.0,2,False,1,18,0.0,train,1746.0,2303.0,2632.0,338.6,0.0,2020.0,1453.0,2414.0,2254.0,3322.0,10.0,0.0,3504.0,909.8,1000.0,700.0,1000.0,1500.0,2000.0,2000.0,2000.0,2000.0,1500.0,1500.0,1500.0,1000.0,2000.0,2000.0,1990.0,2454.0,901.0,1218.0,538.0,1824.0,2590.0,1559.0,3501.94,1225.0,1667.0,1147.0,735.8,2439.0,1786.0,2600.0,1110.0,1040.0,880.0,2026.0,2905.0,1200.0,3129.0,1009.0,1672.0,1437.0,1100.0,2265.0,1692.4,1195.7771956089737,3504.0,0.0,1550.0,468.63139525151803,2000.0,700.0,1672.452857142857,810.1146895293336,3501.94,538.0,1690.642857142857,735.6666894878265,3129.0,880.0
AT5X5K,22,2023-01-19,19,1457.0,2500,1751.0,1900.0,A,AT,1919,1930.0,3,False,1,19,11.0,train,1697.0,1746.0,2303.0,2632.0,338.6,0.0,2020.0,1453.0,2414.0,2254.0,3322.0,10.0,0.0,3504.0,2000.0,1000.0,700.0,1000.0,1500.0,2000.0,2000.0,2000.0,2000.0,1500.0,1500.0,1500.0,1000.0,2000.0,2063.6,1990.0,2454.0,901.0,1218.0,538.0,1824.0,2590.0,1559.0,3501.94,1225.0,1667.0,1147.0,735.8,1775.0,1786.0,2600.0,1110.0,1040.0,880.0,2026.0,2905.0,1200.0,3129.0,1009.0,1672.0,1437.0,1100.0,1546.1857142857145,1076.4149284740333,3322.0,0.0,1585.7142857142858,521.6204674741128,2500.0,700.0,1744.9671428571426,763.9447275860953,3501.94,538.0,1747.7857142857142,717.0950133990323,3129.0,880.0
AT5X5K,22,2023-01-20,20,0.0,3000,715.0,990.0,A,AT,1919,1930.0,4,False,1,20,1097.0,train,1457.0,1697.0,1746.0,2303.0,2632.0,338.6,0.0,2020.0,1453.0,2414.0,2254.0,3322.0,10.0,0.0,2500.0,2000.0,1000.0,700.0,1000.0,1500.0,2000.0,2000.0,2000.0,2000.0,1500.0,1500.0,1500.0,1000.0,1751.0,2063.6,1990.0,2454.0,901.0,1218.0,538.0,1824.0,2590.0,1559.0,3501.94,1225.0,1667.0,1147.0,1900.0,1775.0,1786.0,2600.0,1110.0,1040.0,880.0,2026.0,2905.0,1200.0,3129.0,1009.0,1672.0,1437.0,1546.1857142857145,1076.4149284740333,3322.0,0.0,1728.5714285714287,614.4773531892104,3000.0,700.0,1714.11,797.9245884070846,3501.94,538.0,1715.857142857143,741.5320789930967,3129.0,880.0
AT5X5K,22,2023-01-21,21,507.0,500,1231.0,1239.0,A,AT,1919,1930.0,5,True,1,21,2253.0,train,0.0,1457.0,1697.0,1746.0,2303.0,2632.0,338.6,0.0,2020.0,1453.0,2414.0,2254.0,3322.0,10.0,3000.0,2500.0,2000.0,1000.0,700.0,1000.0,1500.0,2000.0,2000.0,2000.0,2000.0,1500.0,1500.0,1500.0,715.0,1751.0,2063.6,1990.0,2454.0,901.0,1218.0,538.0,1824.0,2590.0,1559.0,3501.94,1225.0,1667.0,990.0,1900.0,1775.0,1786.0,2600.0,1110.0,1040.0,880.0,2026.0,2905.0,1200.0,3129.0,1009.0,1672.0,1581.6857142857145,1029.0060617726385,3322.0,0.0,1657.142857142857,695.827438504565,3000.0,500.0,1682.9671428571426,808.3451789582559,3501.94,538.0,1684.9285714285713,752.4516303683288,3129.0,880.0
AT5X5K,22,2023-01-22,22,1161.0,500,770.0,705.0,A,AT,1919,1930.0,6,True,1,22,0.0,train,507.0,0.0,1457.0,1697.0,1746.0,2303.0,2632.0,338.6,0.0,2020.0,1453.0,2414.0,2254.0,3322.0,500.0,3000.0,2500.0,2000.0,1000.0,700.0,1000.0,1500.0,2000.0,2000.0,2000.0,2000.0,1500.0,1500.0,1231.0,715.0,1751.0,2063.6,1990.0,2454.0,901.0,1218.0,538.0,1824.0,2590.0,1559.0,3501.94,1225.0,1239.0,990.0,1900.0,1775.0,1786.0,2600.0,1110.0,1040.0,880.0,2026.0,2905.0,1200.0,3129.0,1009.0,1427.3285714285716,902.1262084896749,2632.0,0.0,1585.7142857142858,761.4330041311708,3000.0,500.0,1650.4671428571426,836.8196510270626,3501.94,538.0,1663.2142857142858,777.4299056775204,3129.0,705.0
AT5X5K,22,2023-01-23,23,1120.0,500,847.4,530.0,A,AT,1919,1930.0,0,False,1,23,2434.0,train,1161.0,507.0,0.0,1457.0,1697.0,1746.0,2303.0,2632.0,338.6,0.0,2020.0,1453.0,2414.0,2254.0,500.0,500.0,3000.0,2500.0,2000.0,1000.0,700.0,1000.0,1500.0,2000.0,2000.0,2000.0,2000.0,1500.0,770.0,1231.0,715.0,1751.0,2063.6,1990.0,2454.0,901.0,1218.0,538.0,1824.0,2590.0,1559.0,3501.94,705.0,1239.0,990.0,1900.0,1775.0,1786.0,2600.0,1110.0,1040.0,880.0,2026.0,2905.0,1200.0,3129.0,1346.3285714285716,872.6186605918917,2632.0,0.0,1514.2857142857142,815.1046585534916,3000.0,500.0,1460.857142857143,668.9320095544788,2590.0,538.0,1477.5714285714287,707.6681875966051,2905.0,530.0
AT5X5K,22,2023-01-24,24,864.0,500,965.0,820.0,A,AT,1919,1930.0,1,False,1,24,365.0,train,1120.0,1161.0,507.0,0.0,1457.0,1697.0,1746.0,2303.0,2632.0,338.6,0.0,2020.0,1453.0,2414.0,500.0,500.0,500.0,3000.0,2500.0,2000.0,1000.0,700.0,1000.0,1500.0,2000.0,2000.0,2000.0,2000.0,847.4,770.0,1231.0,715.0,1751.0,2063.6,1990.0,2454.0,901.0,1218.0,538.0,1824.0,2590.0,1559.0,530.0,705.0,1239.0,990.0,1900.0,1775.0,1786.0,2600.0,1110.0,1040.0,880.0,2026.0,2905.0,1200.0,1235.6142857142859,823.6940562136882,2632.0,0.0,1407.142857142857,844.4062872942015,3000.0,500.0,1418.4285714285713,680.9580439222505,2590.0,538.0,1450.4285714285713,726.1789050900627,2905.0,530.0
