node_id,node_index,date,day,sales_order,production,delivery,factory_issue,group,sub_group,plant,storage_location,day_of_week,is_weekend,month,day_of_month,y_h7,split,sales_order_lag1,sales_order_lag2,sales_order_lag3,sales_order_lag4,sales_order_lag5,sales_order_lag6,sales_order_lag7,production_lag1,production_lag2,production_lag3,production_lag4,production_lag5,production_lag6,production_lag7,delivery_lag1,delivery_lag2,delivery_lag3,delivery_lag4,delivery_lag5,delivery_lag6,delivery_lag7,factory_issue_lag1,factory_issue_lag2,factory_issue_lag3,factory_issue_lag4,factory_issue_lag5,factory_issue_lag6,factory_issue_lag7,sales_order_roll7_mean,sales_order_roll7_std,sales_order_roll7_max,sales_order_roll7_min,production_roll7_mean,production_roll7_std,production_roll7_max,production_roll7_min,delivery_roll7_mean,delivery_roll7_std,delivery_roll7_max,delivery_roll7_min,factory_issue_roll7_mean,factory_issue_roll7_std,factory_issue_roll7_max,factory_issue_roll7_min
AT5X5K,22,2023-01-08,8,83.05,37.5,30.625,25.225,A,AT,1919,1930.0,6,True,1,8,65.8,train,0.25,0.0,87.6,22.745,58.875,26.75,66.05,37.5,25.0,50.0,50.0,50.0,37.5,37.5,41.675,28.675,18.395,60.975,55.39,57.925,17.675,41.8,35.925,27.5,56.625,74.1,43.0,24.25,39.895714285714284,36.80718231864665,87.6,0.0,41.07142857142857,9.44911182523068,50.0,25.0,41.951428571428565,16.61916431771007,60.975,18.395,43.45357142857143,17.12263018013629,74.1,25.225
AT5X5K,22,2023-01-09,9,56.35,37.5,87.5485,78.225,A,AT,1919,1930.0,0,False,1,9,57.575,train,83.05,0.25,0.0,87.6,22.745,58.875,26.75,37.5,37.5,25.0,50.0,50.0,50.0,37.5,30.625,41.675,28.675,18.395,60.975,55.39,57.925,25.225,41.8,35.925,27.5,56.625,74.1,43.0,44.12428571428571,36.74547596060539,87.6,0.0,41.07142857142857,9.44911182523068,50.0,25.0,46.18335714285714,23.649359182146785,87.5485,18.395,48.48571428571428,21.566548446720947,78.225,25.225
AT5X5K,22,2023-01-10,10,60.35,50.0,38.975,30.0,A,AT,1919,1930.0,1,False,1,10,43.65,train,56.35,83.05,0.25,0.0,87.6,22.745,58.875,37.5,37.5,37.5,25.0,50.0,50.0,50.0,87.5485,30.625,41.675,28.675,18.395,60.975,55.39,78.225,25.225,41.8,35.925,27.5,56.625,74.1,44.334999999999994,36.84824611384735,87.6,0.0,41.07142857142857,9.44911182523068,50.0,25.0,43.83835714285715,23.39678789690707,87.5485,18.395,42.185714285714276,19.14199602718488,78.225,25.225
AT5X5K,22,2023-01-11,11,36.325,50.0,64.75,72.625,A,AT,1919,1930.0,2,False,1,11,42.425,train,60.35,56.35,83.05,0.25,0.0,87.6,22.745,50.0,37.5,37.5,37.5,25.0,50.0,50.0,38.975,87.5485,30.625,41.675,28.675,18.395,60.975,30.0,78.225,25.225,41.8,35.925,27.5,56.625,46.27499999999999,35.866526293095816,87.6,0.0,41.07142857142857,9.44911182523068,50.0,25.0,44.37764285714286,23.89579662603566,87.5485,18.395,44.47142857142857,21.908833019714084,78.225,25.225
AT5X5K,22,2023-01-12,12,50.5,50.0,45.6,50.65,A,AT,1919,1930.0,3,False,1,12,36.425,train,36.325,60.35,56.35,83.05,0.25,0.0,87.6,50.0,50.0,37.5,37.5,37.5,25.0,50.0,64.75,38.975,87.5485,30.625,41.675,28.675,18.395,72.625,30.0,78.225,25.225,41.8,35.925,27.5,40.97500000000001,31.17667731387252,83.05,0.0,41.07142857142857,9.44911182523068,50.0,25.0,48.26407142857143,21.00285979025351,87.5485,28.675,47.778571428571425,20.62994096660759,78.225,25.225
AT5X5K,22,2023-01-13,13,0.0,50.0,13.45,22.0,A,AT,1919,1930.0,4,False,1,13,0.0,train,50.5,36.325,60.35,56.35,83.05,0.25,0.0,50.0,50.0,50.0,37.5,37.5,37.5,25.0,45.6,64.75,38.975,87.5485,30.625,41.675,28.675,50.65,72.625,30.0,78.225,25.225,41.8,35.925,40.97500000000001,31.17667731387252,83.05,0.0,44.642857142857146,6.681531047810609,50.0,37.5,46.08907142857142,23.950971418066693,87.5485,13.45,45.78928571428571,22.545855389363584,78.225,22.0
AT5X5K,22,2023-01-14,14,8.465,37.5,30.45,26.0,A,AT,1919,1930.0,5,True,1,14,12.675,train,0.0,50.5,36.325,60.35,56.35,83.05,0.25,50.0,50.0,50.0,50.0,37.5,37.5,37.5,13.45,45.6,64.75,38.975,87.5485,30.625,41.675,22.0,50.65,72.625,30.0,78.225,25.225,41.8,42.14857142857143,29.49758418276059,83.05,0.0,44.642857142857146,6.681531047810609,50.0,37.5,44.4855,24.661003732276054,87.5485,13.45,43.53214285714286,23.7694907491976,78.225,22.0
AT5X5K,22,2023-01-15,15,65.8,25.0,22.525,27.75,A,AT,1919,1930.0,6,True,1,15,29.025,train,8.465,0.0,50.5,36.325,60.35,56.35,83.05,37.5,50.0,50.0,50.0,50.0,37.5,37.5,30.45,13.45,45.6,64.75,38.975,87.5485,30.625,26.0,22.0,50.65,72.625,30.0,78.225,25.225,39.684285714285714,26.027546693931072,65.8,0.0,42.857142857142854,9.83494740586804,50.0,25.0,43.32835714285714,25.592211944773172,87.5485,13.45,43.892857142857146,23.462544238484814,78.225,22.0
AT5X5K,22,2023-01-16,16,57.575,17.5,61.35,65.0,A,AT,1919,1930.0,0,False,1,16,28.0,train,65.8,8.465,0.0,50.5,36.325,60.35,56.35,25.0,37.5,50.0,50.0,50.0,50.0,37.5,22.525,30.45,13.45,45.6,64.75,38.975,87.5485,27.75,26.0,22.0,50.65,72.625,30.0,78.225,39.85928571428571,26.16204748431263,65.8,0.0,40.0,13.768926368215258,50.0,17.5,39.58571428571429,19.153219143826153,64.75,13.45,42.003571428571426,20.594398654789146,72.625,22.0
AT5X5K,22,2023-01-17,17,43.65,25.0,49.75,44.65,A,AT,1919,1930.0,1,False,1,17,21.6,train,57.575,65.8,8.465,0.0,50.5,36.325,60.35,17.5,25.0,37.5,50.0,50.0,50.0,50.0,61.35,22.525,30.45,13.45,45.6,64.75,38.975,65.0,27.75,26.0,22.0,50.65,72.625,30.0,37.473571428571425,24.702817267517915,65.8,0.0,36.42857142857143,13.983408536037071,50.0,17.5,41.125,19.525320099808866,64.75,13.45,44.096428571428575,19.90407427184313,72.625,22.0
