node_index,group_deg,group_clustering,group_closeness,group_betweenness,node_id
0,13,1.0,0.3333333333333333,0.0,SOS008L02P
1,13,1.0,0.3333333333333333,0.0,SOS005L04P
2,13,1.0,0.3333333333333333,0.0,SOS003L04P
3,13,1.0,0.3333333333333333,0.0,SOS002L09P
4,13,1.0,0.3333333333333333,0.0,SOS001L12P
5,13,1.0,0.3333333333333333,0.0,SOS500M24P
6,13,1.0,0.3333333333333333,0.0,SOS250M48P
7,13,1.0,0.3333333333333333,0.0,SOP001L12P
14,13,1.0,0.3333333333333333,0.0,SO0005L04P
15,13,1.0,0.3333333333333333,0.0,SO0002L09P
16,13,1.0,0.3333333333333333,0.0,SO0001L12P
17,13,1.0,0.3333333333333333,0.0,SO0500M24P
31,13,1.0,0.3333333333333333,0.0,SE500G24P
32,13,1.0,0.3333333333333333,0.0,SE200G24P
38,1,0.0,0.02564102564102564,0.0,EEA500G12P
39,1,0.0,0.02564102564102564,0.0,EEA200G24P
8,9,1.0,0.23076923076923078,0.0,POV005L04P
9,9,1.0,0.23076923076923078,0.0,POV002L09P
10,9,1.0,0.23076923076923078,0.0,POV001L24P
11,9,1.0,0.23076923076923078,0.0,POV500M24P
12,9,1.0,0.23076923076923078,0.0,POP001L12P
13,9,1.0,0.23076923076923078,0.0,POP015K
18,9,1.0,0.23076923076923078,0.0,POP005L04P
19,9,1.0,0.23076923076923078,0.0,POP002L09P
20,9,1.0,0.23076923076923078,0.0,POP500M24P
21,9,1.0,0.23076923076923078,0.0,POPF01L12P
22,6,1.0,0.15384615384615385,0.0,AT5X5K
23,6,1.0,0.15384615384615385,0.0,ATN02K12P
24,6,1.0,0.15384615384615385,0.0,ATN01K24P
27,6,1.0,0.15384615384615385,0.0,ATWWP002K12P
28,6,1.0,0.15384615384615385,0.0,ATWWP001K24P
33,6,1.0,0.15384615384615385,0.0,ATPPCH5X5K
34,6,1.0,0.15384615384615385,0.0,ATPA1K24P
25,6,1.0,0.15384615384615385,0.0,MAR02K12P
26,6,1.0,0.15384615384615385,0.0,MAR01K24P
29,6,1.0,0.15384615384615385,0.0,MASR025K
30,6,1.0,0.15384615384615385,0.0,MAHS025K
35,6,1.0,0.15384615384615385,0.0,MAPA1K24P
36,6,1.0,0.15384615384615385,0.0,MAP1K25P
37,6,1.0,0.15384615384615385,0.0,MAC1K25P
