node_index,sub_group_deg,sub_group_clustering,sub_group_closeness,sub_group_betweenness,node_id
0,6,1.0,0.20689655172413793,0.0,SOS008L02P
1,6,1.0,0.20689655172413793,0.0,SOS005L04P
2,6,1.0,0.20689655172413793,0.0,SOS003L04P
3,6,1.0,0.20689655172413793,0.0,SOS002L09P
4,6,1.0,0.20689655172413793,0.0,SOS001L12P
5,6,1.0,0.20689655172413793,0.0,SOS500M24P
6,6,1.0,0.20689655172413793,0.0,SOS250M48P
8,3,1.0,0.10344827586206896,0.0,POV005L04P
9,3,1.0,0.10344827586206896,0.0,POV002L09P
10,3,1.0,0.10344827586206896,0.0,POV001L24P
11,3,1.0,0.10344827586206896,0.0,POV500M24P
12,4,1.0,0.13793103448275862,0.0,POP001L12P
13,4,1.0,0.13793103448275862,0.0,POP015K
18,4,1.0,0.13793103448275862,0.0,POP005L04P
19,4,1.0,0.13793103448275862,0.0,POP002L09P
20,4,1.0,0.13793103448275862,0.0,POP500M24P
14,3,1.0,0.10344827586206896,0.0,SO0005L04P
15,3,1.0,0.10344827586206896,0.0,SO0002L09P
16,3,1.0,0.10344827586206896,0.0,SO0001L12P
17,3,1.0,0.10344827586206896,0.0,SO0500M24P
23,1,0.0,0.034482758620689655,0.0,ATN02K12P
24,1,0.0,0.034482758620689655,0.0,ATN01K24P
25,1,0.0,0.034482758620689655,0.0,MAR02K12P
26,1,0.0,0.034482758620689655,0.0,MAR01K24P
27,1,0.0,0.034482758620689655,0.0,ATWWP002K12P
28,1,0.0,0.034482758620689655,0.0,ATWWP001K24P
31,1,0.0,0.034482758620689655,0.0,SE500G24P
32,1,0.0,0.034482758620689655,0.0,SE200G24P
38,1,0.0,0.034482758620689655,0.0,EEA500G12P
39,1,0.0,0.034482758620689655,0.0,EEA200G24P
