node_index,plant_deg,plant_clustering,plant_closeness,plant_betweenness,node_id
28,17,0.7279411764705882,0.582089552238806,0.029877578561789114,ATWWP001K24P
24,17,0.7279411764705882,0.582089552238806,0.029877578561789114,ATN01K24P
22,17,0.7279411764705882,0.582089552238806,0.029877578561789114,AT5X5K
26,17,0.7279411764705882,0.582089552238806,0.029877578561789114,MAR01K24P
31,17,0.7279411764705882,0.582089552238806,0.029877578561789114,SE500G24P
29,15,0.8380952380952381,0.5652173913043478,0.01530267977636398,MASR025K
23,15,0.8380952380952381,0.5652173913043478,0.01530267977636398,ATN02K12P
32,15,0.8,0.5652173913043478,0.01804993252361672,SE200G24P
25,10,0.9555555555555556,0.40625,0.00033738191632928474,MAR02K12P
34,9,1.0,0.4020618556701031,0.0,ATPA1K24P
36,9,1.0,0.4020618556701031,0.0,MAP1K25P
30,12,1.0,0.5416666666666666,0.0,MAHS025K
35,7,1.0,0.3939393939393939,0.0,MAPA1K24P
37,7,1.0,0.3939393939393939,0.0,MAC1K25P
27,12,1.0,0.5416666666666666,0.0,ATWWP002K12P
33,12,1.0,0.5416666666666666,0.0,ATPPCH5X5K
38,28,0.5343915343915344,0.78,0.23751686909581646,EEA500G12P
39,28,0.5343915343915344,0.78,0.23751686909581646,EEA200G24P
1,23,0.8774703557312253,0.65,0.011863794100636206,SOS005L04P
3,23,0.8774703557312253,0.65,0.011863794100636206,SOS002L09P
2,23,0.8774703557312253,0.65,0.011863794100636206,SOS003L04P
5,23,0.8774703557312253,0.65,0.011863794100636206,SOS500M24P
4,23,0.8774703557312253,0.65,0.011863794100636206,SOS001L12P
10,23,0.8774703557312253,0.65,0.011863794100636206,POV001L24P
11,23,0.8774703557312253,0.65,0.011863794100636206,POV500M24P
0,23,0.8774703557312253,0.65,0.011863794100636206,SOS008L02P
19,23,0.8774703557312253,0.65,0.011863794100636206,POP002L09P
20,23,0.8774703557312253,0.65,0.011863794100636206,POP500M24P
9,23,0.8774703557312253,0.65,0.011863794100636206,POV002L09P
8,23,0.8774703557312253,0.65,0.011863794100636206,POV005L04P
12,23,0.8774703557312253,0.65,0.011863794100636206,POP001L12P
18,20,0.9473684210526315,0.6190476190476191,0.005212550607287449,POP005L04P
21,16,1.0,0.46987951807228917,0.0,POPF01L12P
7,17,0.9926470588235294,0.47560975609756095,8.434547908232118e-05,SOP001L12P
6,23,0.8774703557312253,0.65,0.011863794100636206,SOS250M48P
17,16,1.0,0.46987951807228917,0.0,SO0500M24P
14,16,1.0,0.46987951807228917,0.0,SO0005L04P
15,16,1.0,0.46987951807228917,0.0,SO0002L09P
16,16,1.0,0.46987951807228917,0.0,SO0001L12P
13,17,1.0,0.5909090909090909,0.0,POP015K
